Game Turn, Player, Belief, Score
182, 1, BELIEF_DANCE_OF_THE_AURORA, -1.0
182, 1, BELIEF_DESERT_FOLKLORE, -1.0
182, 1, BELIEF_SACRED_PATH, -1.0
182, 1, BELIEF_RIVER_GODDESS, 0.0
182, 1, BELIEF_MONUMENT_TO_THE_GODS, -1.0
182, 1, BELIEF_DIVINE_SPARK, 0.0
182, 1, BELIEF_LADY_OF_THE_REEDS_AND_MARSHES, 0.0
182, 1, BELIEF_GOD_OF_THE_SEA, 0.0
182, 1, BELIEF_GOD_OF_THE_OPEN_SKY, 0.0
182, 1, BELIEF_GODDESS_OF_THE_HUNT, 0.0
182, 1, BELIEF_STONE_CIRCLES, -1.0
182, 1, BELIEF_RELIGIOUS_IDOLS, 0.0
182, 1, BELIEF_GOD_OF_CRAFTSMEN, 49.0
182, 1, BELIEF_GODDESS_OF_FESTIVALS, 0.0
182, 1, BELIEF_ORAL_TRADITION, 0.0
182, 1, BELIEF_GOD_OF_THE_FORGE, -1.0
182, 1, BELIEF_INITIATION_RITES, 0.0
182, 1, BELIEF_GOD_OF_HEALING, 0.0
182, 1, BELIEF_GOD_OF_WAR, 0.0
182, 1, BELIEF_FERTILITY_RITES, 412.0
182, 1, BELIEF_RELIGIOUS_SETTLEMENTS, 761.0
182, 1, BELIEF_GODDESS_OF_THE_HARVEST, -1.0
182, 1, BELIEF_CITY_PATRON_GODDESS, 0.0
182, 1, BELIEF_EARTH_GODDESS, -1.0
182, 1, BELIEF_DIVINE_INSPIRATION, -1.0
182, 1, BELIEF_FEED_THE_WORLD, -1.0
182, 1, BELIEF_JESUIT_EDUCATION, -1.0
182, 1, BELIEF_RELIQUARIES, -1.0
182, 1, BELIEF_RELIGIOUS_COMMUNITY, 0.0
182, 1, BELIEF_WORK_ETHIC, 0.0
182, 1, BELIEF_ZEN_MEDITATION, 0.0
182, 1, BELIEF_CHORAL_MUSIC, 0.0
182, 1, BELIEF_WARRIOR_MONKS, 0.0
182, 1, BELIEF_CATHEDRAL, 426.0
182, 1, BELIEF_GURDWARA, -1.0
182, 1, BELIEF_MEETING_HOUSE, -1.0
